job_location,search_city,search_country,job_level,job_type,job_name,languages,certifications,soft_skills,programming_languages,technologies,academic_degrees,knowledge,n_languages,n_certifications,n_soft_skills,n_programming_languages,n_technologies,n_knowledge,n_academic_degrees,num_job_level,num_job_type,num_search_country
West Chester- OH,Covington,United States,Associate,Remote,Software Engineer,No found,No found,Communication-Teamwork,CSS-SQL-JavaScript-HTML,No found,Bachelors,Web Development-Databases-Version Control,0,0,2,4,0,3,1,0,1,3
Cincinnati- OH,Covington,United States,Associate,Remote,Software Engineer,No found,No found,Leadership-Teamwork,No found,No found,No found,Testing,0,0,2,0,0,1,0,0,1,3
Chattanooga- TN,Chattanooga,United States,Mid senior,Onsite,BackEnd Software Engineer,No found,No found,Teamwork,Java-Go-SQL-Scala-JavaScript-Python,Node.js-Google Cloud-AWS-Azure,No found,Agile-Web Development-Databases-Cloud Computing,0,0,1,6,4,4,0,1,2,3
Chattanooga- TN,Chattanooga,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Teamwork,TypeScript-Java-Go-SQL-JavaScript-Python,Google Cloud-AWS-Azure,No found,Databases-Agile-Web Development-Cloud Computing-Software Architecture,0,0,1,6,3,5,0,1,2,3
Chattanooga- TN,Chattanooga,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Teamwork-Creativity,TypeScript-Java-CSS-SQL-HTML-JavaScript,AWS-Kubernetes-Vue.js-Node.js-Azure-Angular-Docker-Google Cloud,No found,Databases-Agile-Web Development-Cloud Computing-Software Architecture,0,0,2,6,8,5,0,1,2,3
Chattanooga- TN,Chattanooga,United States,Mid senior,Onsite,Software Engineer,No found,No found,Leadership-Organization-Communication-Work Ethic-Teamwork,No found,No found,No found,Project Management-Testing,0,0,5,0,0,2,0,1,2,3
Chattanooga- TN,Chattanooga,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Teamwork,Java-JavaScript-Python,AWS-React-Azure-Angular-Google Cloud,No found,Agile-Web Development-Cloud Computing,0,0,1,3,5,3,0,1,2,3
Chattanooga- TN,Chattanooga,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Teamwork,TypeScript-Java-CSS-Go-SQL-HTML-JavaScript-Python,AWS-Kubernetes-React-Azure-MySQL-Angular-PostgreSQL-Docker-Google Cloud,No found,Databases-Agile-Web Development-Cloud Computing-Software Architecture,0,0,1,8,9,5,0,1,2,3
Las Cruces- NM,Las Cruces,United States,Mid senior,Onsite,Software Engineer,No found,No found,Problem Solving-Leadership-Communication-Critical Thinking-Teamwork,SQL,No found,No found,Testing-Databases-Version Control,0,0,5,1,0,3,0,1,2,3
Las Cruces- NM,Las Cruces,United States,Mid senior,Onsite,Software Engineer,No found,No found,Problem Solving-Leadership-Communication-Critical Thinking-Teamwork,SQL,No found,No found,Testing-Databases-Version Control,0,0,5,1,0,3,0,1,2,3
Las Cruces- NM,Las Cruces,United States,Mid senior,Onsite,Software Engineer,No found,No found,Organization-Leadership-Creativity-Communication-Teamwork,TypeScript-Shell-Perl-Python,AWS-Kubernetes-Azure-Docker-Jenkins,No found,Testing-Cloud Computing-Security,0,0,5,4,5,3,0,1,2,3
