job_location,search_city,search_country,job_level,job_type,job_name,languages,certifications,soft_skills,programming_languages,technologies,academic_degrees,knowledge
West Chester- OH,Covington,United States,Associate,Remote,Software Engineer,No found,No found,Communication-Teamwork,CSS-SQL-JavaScript-HTML,No found,Bachelors,Web Development-Databases-Version Control
Cincinnati- OH,Covington,United States,Associate,Remote,Software Engineer,No found,No found,Leadership-Teamwork,No found,No found,No found,Testing
Chattanooga- TN,Chattanooga,United States,Mid senior,Onsite,BackEnd Software Engineer,No found,No found,Teamwork,Java-Go-SQL-Scala-JavaScript-Python,Node.js-Google Cloud-AWS-Azure,No found,Agile-Web Development-Databases-Cloud Computing
Chattanooga- TN,Chattanooga,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Teamwork,TypeScript-Java-Go-SQL-JavaScript-Python,Google Cloud-AWS-Azure,No found,Databases-Agile-Web Development-Cloud Computing-Software Architecture
Chattanooga- TN,Chattanooga,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Teamwork-Creativity,TypeScript-Java-CSS-SQL-HTML-JavaScript,AWS-Kubernetes-Vue.js-Node.js-Azure-Angular-Docker-Google Cloud,No found,Databases-Agile-Web Development-Cloud Computing-Software Architecture
Chattanooga- TN,Chattanooga,United States,Mid senior,Onsite,Software Engineer,No found,No found,Leadership-Organization-Communication-Work Ethic-Teamwork,No found,No found,No found,Project Management-Testing
Chattanooga- TN,Chattanooga,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Teamwork,Java-JavaScript-Python,AWS-React-Azure-Angular-Google Cloud,No found,Agile-Web Development-Cloud Computing
Chattanooga- TN,Chattanooga,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Teamwork,TypeScript-Java-CSS-Go-SQL-HTML-JavaScript-Python,AWS-Kubernetes-React-Azure-MySQL-Angular-PostgreSQL-Docker-Google Cloud,No found,Databases-Agile-Web Development-Cloud Computing-Software Architecture
Las Cruces- NM,Las Cruces,United States,Mid senior,Onsite,Software Engineer,No found,No found,Problem Solving-Leadership-Communication-Critical Thinking-Teamwork,SQL,No found,No found,Testing-Databases-Version Control
Las Cruces- NM,Las Cruces,United States,Mid senior,Onsite,Software Engineer,No found,No found,Problem Solving-Leadership-Communication-Critical Thinking-Teamwork,SQL,No found,No found,Testing-Databases-Version Control
Las Cruces- NM,Las Cruces,United States,Mid senior,Onsite,Software Engineer,No found,No found,Organization-Leadership-Creativity-Communication-Teamwork,TypeScript-Shell-Perl-Python,AWS-Kubernetes-Azure-Docker-Jenkins,No found,Testing-Cloud Computing-Security
Las Cruces- NM,Las Cruces,United States,Mid senior,Onsite,Security Software Engineer,No found,No found,Organization-Leadership-Creativity-Communication-Teamwork,Shell-Perl-Python,AWS-Kubernetes-Azure-Docker-Jenkins,No found,Agile-Testing-Cloud Computing-Security
Pittsburgh- PA,Homestead,United States,Mid senior,Onsite,Software Engineer,No found,No found,Time Management-Leadership-Organization-Adaptability-Creativity-Teamwork,Go-Java,No found,No found,No found
Westmont- IL,Homer,United States,Associate,Hybrid,Software Engineer,No found,No found,Problem Solving-Organization-Adaptability-Communication-Teamwork,Java-TypeScript-Python,AWS-Kubernetes-Spring-Azure-Angular-MongoDB-PostgreSQL-Docker-Jenkins-RESTful APIs,No found,Databases-Version Control-Agile-Cloud Computing-Web Development-Mocking
Franklin Park- IL,Homer,United States,Associate,Hybrid,Quality Software Engineer,No found,No found,Teamwork,Java-SQL-Python,PostgreSQL,No found,Testing-Databases-Mobile Development-Project Management-Agile
Franklin Park- IL,Homer,United States,Associate,Hybrid,Android Software Engineer,No found,No found,Communication-Leadership-Teamwork-Creativity,Kotlin-Java,No found,No found,Mobile Development-Testing-Databases
Lisle- IL,Homer,United States,Associate,Hybrid,Software Engineer,No found,No found,Communication-Leadership-Teamwork-Creativity,No found,No found,Diploma,Security
Burr Ridge- IL,Homer,United States,Mid senior,Onsite,Software Developer,No found,No found,Communication-Organization-Teamwork,Python,No found,No found,Testing-Security
Joliet- IL,Homer,United States,Mid senior,Onsite,BackEnd Software Engineer,No found,No found,Teamwork,Java-Go-SQL-HTML-Scala-Python,Node.js-Google Cloud-AWS-Azure,No found,Agile-Web Development-Databases-Cloud Computing
